approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,reg_no,requisiton_no,send,partner_id/id
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-24,643.9,__export__.wakf_district_6,0,13521.9,FALSE,12878,4181,0,TRUE,__export__.res_partner_94
TRUE,__export__.account_fiscalyear_167,FALSE,,0,2011-08-26,555.1,__export__.wakf_district_6,0,11657.1,FALSE,11102,4723,0,TRUE,__export__.res_partner_412
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-26,516.55,__export__.wakf_district_6,0,10847.55,FALSE,10331,4723,0,TRUE,__export__.res_partner_412
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-27,638.45,__export__.wakf_district_6,0,13407.45,FALSE,12769,5454,0,TRUE,__export__.res_partner_1879
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-08-27,592.45,__export__.wakf_district_6,0,12441.45,FALSE,11849,5969,0,TRUE,__export__.res_partner_4043
TRUE,__export__.account_fiscalyear_168,TRUE,2011-09-05,0,2011-09-05,665.573,__export__.wakf_district_6,0,13977.033,FALSE,13311.46,2880,0,TRUE,__export__.res_partner_8249
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-09-05,635.45,__export__.wakf_district_6,0,13344.45,FALSE,12709,2880,0,TRUE,__export__.res_partner_8249
TRUE,__export__.account_fiscalyear_168,TRUE,2012-06-15,0,2011-09-05,661.35,__export__.wakf_district_6,0,13888.35,FALSE,13227,543,0,TRUE,__export__.res_partner_1273
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-09-05,554.1,__export__.wakf_district_6,0,11636.1,FALSE,11082,6189,0,TRUE,__export__.res_partner_2807
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-09-06,529.35,__export__.wakf_district_6,0,11116.35,FALSE,10587,4558,0,TRUE,__export__.res_partner_2000
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-09-06,338.15,__export__.wakf_district_6,0,7101.15,FALSE,6763,4584,0,TRUE,__export__.res_partner_2768
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2011-09-06,518.5,__export__.wakf_district_6,0,10888.5,FALSE,10370,6258,0,TRUE,__export__.res_partner_3483
TRUE,__export__.account_fiscalyear_163,FALSE,,0,2011-11-23,318.6,__export__.wakf_district_6,0,6690.6,FALSE,6372,4551,0,TRUE,__export__.res_partner_1532
TRUE,__export__.account_fiscalyear_168,TRUE,2012-08-16,0,2012-01-17,1093.5,__export__.wakf_district_6,0,22963.5,FALSE,21870,6905,0,TRUE,__export__.res_partner_3220
TRUE,__export__.account_fiscalyear_169,TRUE,2012-05-03,0,2012-05-03,826.8,__export__.wakf_district_6,0,17362.8,FALSE,16536,152,0,TRUE,__export__.res_partner_7772
TRUE,__export__.account_fiscalyear_169,TRUE,2012-05-03,0,2012-05-03,0,__export__.wakf_district_6,0,0,FALSE,0,152,0,TRUE,__export__.res_partner_7772
TRUE,__export__.account_fiscalyear_169,FALSE,,0,2012-05-03,826.8,__export__.wakf_district_6,0,17362.8,FALSE,16536,152,0,TRUE,__export__.res_partner_7772
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2012-05-03,626.55,__export__.wakf_district_6,0,13157.55,FALSE,12531,5810,0,TRUE,__export__.res_partner_6897
TRUE,__export__.account_fiscalyear_169,FALSE,,0,2012-05-19,522.205,__export__.wakf_district_6,0,10966.305,FALSE,10444.1,45,0,TRUE,__export__.res_partner_2662
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2012-06-15,607.8,__export__.wakf_district_6,0,12763.8,FALSE,12156,543,0,TRUE,__export__.res_partner_1273
TRUE,__export__.account_fiscalyear_169,FALSE,,0,2012-07-24,536.2,__export__.wakf_district_6,0,11260.2,FALSE,10724,239,0,TRUE,__export__.res_partner_5595
TRUE,__export__.account_fiscalyear_168,TRUE,2012-08-16,0,2012-08-16,1093.5,__export__.wakf_district_6,0,22963.5,FALSE,21870,6905,0,TRUE,__export__.res_partner_3220
TRUE,__export__.account_fiscalyear_168,FALSE,,0,2012-08-16,1186.75,__export__.wakf_district_6,0,24921.75,FALSE,23735,6905,0,TRUE,__export__.res_partner_3220
TRUE,__export__.account_fiscalyear_165,FALSE,,0,2013-06-19,23.15,__export__.wakf_district_6,0,486.15,FALSE,463,4858,0,TRUE,__export__.res_partner_4919
TRUE,__export__.account_fiscalyear_165,FALSE,,0,2013-06-19,575.45,__export__.wakf_district_6,0,12084.45,FALSE,11509,4858,0,TRUE,__export__.res_partner_4919
TRUE,__export__.account_fiscalyear_172,FALSE,,1/14/2015,2014-04-03,495,__export__.wakf_district_3,a2-4942/RA,10399,FALSE,9904,4942,1/14/2015,FALSE,__export__.res_partner_6790
TRUE,__export__.account_fiscalyear_172,FALSE,,2/14/2015,2014-04-03,631,__export__.wakf_district_3,a2-6619/RA,13260,FALSE,12629,6619,2/14/2015,FALSE,__export__.res_partner_8151
TRUE,__export__.account_fiscalyear_172,FALSE,,3/14/2015,2014-04-03,495,__export__.wakf_district_3,a2-5001/RA,10399,FALSE,9904,5001,3/14/2015,FALSE,__export__.res_partner_6246
TRUE,__export__.account_fiscalyear_172,FALSE,,4/14/2015,2014-04-03,495,__export__.wakf_district_3,a2-4941/RA,10399,FALSE,9904,4941,4/14/2015,FALSE,__export__.res_partner_1446
TRUE,__export__.account_fiscalyear_172,FALSE,,5/14/2015,2014-04-03,404,__export__.wakf_district_3,a2-6973/RA,8489,FALSE,8085,6973,5/14/2015,FALSE,__export__.res_partner_5205
TRUE,__export__.account_fiscalyear_172,FALSE,,6/14/2015,2014-04-21,527,__export__.wakf_district_5,a1-7035/RA,11065,FALSE,10538,7035,6/14/2015,FALSE,__export__.res_partner_173
TRUE,__export__.account_fiscalyear_172,FALSE,,7/14/2015,2014-04-21,588,__export__.wakf_district_5,a1-292/RA,12358,FALSE,11770,292,7/14/2015,TRUE,__export__.res_partner_6100
TRUE,__export__.account_fiscalyear_172,FALSE,,8/14/2015,2014-04-21,581,__export__.wakf_district_5,a1-161/RA,12195,FALSE,11614,161,8/14/2015,FALSE,__export__.res_partner_5284
TRUE,__export__.account_fiscalyear_172,FALSE,,9/14/2015,2014-04-21,559,__export__.wakf_district_5,a1-185/RA,11733,FALSE,11174,185,9/14/2015,FALSE,__export__.res_partner_1893
TRUE,__export__.account_fiscalyear_172,FALSE,,10/14/2015,2014-04-21,1888,__export__.wakf_district_5,a1-187/RA,39652,FALSE,37764,187,10/14/2015,FALSE,__export__.res_partner_1400
TRUE,__export__.account_fiscalyear_172,FALSE,,11/14/2015,2014-04-21,426,__export__.wakf_district_5,a1-194/RA,8950,FALSE,8524,194,11/14/2015,FALSE,__export__.res_partner_1374
TRUE,__export__.account_fiscalyear_172,FALSE,,12/14/2015,2014-04-21,439,__export__.wakf_district_5,a1-225/RA,9218.38,FALSE,8779.38,225,12/14/2015,FALSE,__export__.res_partner_7119
TRUE,__export__.account_fiscalyear_172,FALSE,,13/14-15,2014-04-21,896,__export__.wakf_district_5,a1-259/RA,18826,FALSE,17930,259,13/14-15,FALSE,__export__.res_partner_7553
TRUE,__export__.account_fiscalyear_172,FALSE,,14/14-15,2014-04-21,613,__export__.wakf_district_5,a1-6513/RA,12875,FALSE,12262,6513,14/14-15,FALSE,__export__.res_partner_5230
TRUE,__export__.account_fiscalyear_172,FALSE,,15/14-15,2014-04-21,456,__export__.wakf_district_5,a1-4185/RA,9578,FALSE,9122,4185,15/14-15,FALSE,__export__.res_partner_612
TRUE,__export__.account_fiscalyear_172,FALSE,,16/14-15,2014-04-21,800,__export__.wakf_district_5,a1-6105/RA,16803,FALSE,16003,6105,16/14-15,FALSE,__export__.res_partner_3282
TRUE,__export__.account_fiscalyear_172,FALSE,,17/14-15,2014-04-24,875,__export__.wakf_district_3,a1-22/RA,18381.34,FALSE,17506.34,22,17/14-15,FALSE,__export__.res_partner_5463
FALSE,__export__.account_fiscalyear_172,FALSE,,18/14-15,2014-04-25,269,__export__.wakf_district_5,a1-5454/RA,5653,FALSE,5384,5454,18/14-15,FALSE,__export__.res_partner_1879
FALSE,__export__.account_fiscalyear_172,FALSE,,19/14-15,2014-04-29,63163,__export__.wakf_district_3,a1-12/RA,905335,FALSE,842172,12,19/14-15,FALSE,__export__.res_partner_8256
FALSE,__export__.account_fiscalyear_172,FALSE,,20/14-15,2014-05-24,4704,__export__.wakf_district_3,a1-6612/RA,98779,FALSE,94075,6612,20/14-15,FALSE,__export__.res_partner_107
FALSE,__export__.account_fiscalyear_172,FALSE,,21/14-15,2014-06-03,2921,__export__.wakf_district_3,CR-152/RA,61343,FALSE,58422,152,21/14-15,FALSE,__export__.res_partner_7772
