Master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
146,,2011-2012,__export__.account_fiscalyear_245,2013-09-03,2012-2013,__export__.account_fiscalyear_246,3099,3740,__export__.res_partner_6732,0,0,0
147,1977-1999,1977-1999,,2001-03-01,2000-2001,__export__.account_fiscalyear_234,581,5982,__export__.res_partner_3889,0,0,0
148,1984-1999,1984-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,1736,4635,__export__.res_partner_6595,0,0,0
149,,2010-2011,__export__.account_fiscalyear_244,2011-08-19,2011-2012,__export__.account_fiscalyear_245,3060,3706,__export__.res_partner_4601,0,0,0
150,,2009-2010,__export__.account_fiscalyear_243,2010-05-10,2010-2011,__export__.account_fiscalyear_244,398,1003706,,0,0,0
151,1978-1989,1978-1989,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,3094,3670,__export__.res_partner_6559,0,0,0
152,,2012-2013,__export__.account_fiscalyear_246,2013-12-27,2013-2014,__export__.account_fiscalyear_247,398,1003706,,0,0,0
153,1978-1999,1978-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,3056,3701,__export__.res_partner_6287,0,0,0
154,1977-1999,1977-1999,,2001-03-01,2000-2001,__export__.account_fiscalyear_234,1526,5790,__export__.res_partner_4817,0,0,0
155,,1997-1998,__export__.account_fiscalyear_231,2001-03-31,2000-2001,__export__.account_fiscalyear_234,3046,3693,__export__.res_partner_4562,0,0,0
156,,2009-2010,__export__.account_fiscalyear_243,2013-08-16,2013-2014,__export__.account_fiscalyear_247,2904,3777,__export__.res_partner_5127,0,0,0
157,,2010-2011,__export__.account_fiscalyear_244,2013-08-16,2013-2014,__export__.account_fiscalyear_247,2904,3777,__export__.res_partner_5127,0,0,0
158,,2011-2012,__export__.account_fiscalyear_245,2013-08-16,2013-2014,__export__.account_fiscalyear_247,2904,3777,__export__.res_partner_5127,0,0,0
159,1997-1999,1997-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,1062,6883,__export__.res_partner_347,0,0,0
160,1996-1999,1996-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,2928,3816,__export__.res_partner_4845,0,0,0
161,1997-1999,1997-1999,,2001-03-31,2000-2001,__export__.account_fiscalyear_234,1177,6881,__export__.res_partner_1629,0,0,0
162,,2011-2012,__export__.account_fiscalyear_245,2013-12-12,2013-2014,__export__.account_fiscalyear_247,4905,3572,__export__.res_partner_3364,0,0,0
163,,2012-2013,__export__.account_fiscalyear_246,2014-03-31,2013-2014,__export__.account_fiscalyear_247,4905,3572,__export__.res_partner_3364,0,0,0
167,,2009-2010,__export__.account_fiscalyear_243,2011-12-23,2011-2012,__export__.account_fiscalyear_245,7269,3606,__export__.res_partner_4324,0,0,0
168,,2010-2011,__export__.account_fiscalyear_244,2011-12-23,2011-2012,__export__.account_fiscalyear_245,7269,3606,__export__.res_partner_4324,0,0,0
169,,2008-2009,__export__.account_fiscalyear_242,2012-02-23,2011-2012,__export__.account_fiscalyear_245,7269,3606,__export__.res_partner_4324,0,0,0
