master_id,temp_acc_year,Accnt year,acc_year/id,date_from,Assess year,assess_year/id,reg_id,name,wakf_id/id,line_1,line_2,line_3
192,,2009-2010,__export__.account_fiscalyear_186,2013-02-04,2012-2013,__export__.account_fiscalyear_189,5201,3395,__export__.res_partner_3397,0,0,0
193,,2010-2011,__export__.account_fiscalyear_187,2013-02-04,2012-2013,__export__.account_fiscalyear_189,5201,3395,__export__.res_partner_3397,0,0,0
194,,2011-2012,__export__.account_fiscalyear_188,2013-02-04,2012-2013,__export__.account_fiscalyear_189,5201,3395,__export__.res_partner_3397,0,0,0
195,1990-1995,1990-1995,,2000-04-01,2000-2001,__export__.account_fiscalyear_177,3645,3397,__export__.res_partner_8199,0,0,0
196,,1991-1992,__export__.account_fiscalyear_479,2013-03-15,2000-2001,__export__.account_fiscalyear_177,3654,3398,__export__.res_partner_3173,0,0,0
197,,2011-2012,__export__.account_fiscalyear_188,2013-03-15,2012-2013,__export__.account_fiscalyear_189,3654,3398,__export__.res_partner_3173,0,0,0
198,,2011-2012,__export__.account_fiscalyear_188,2012-07-27,2012-2013,__export__.account_fiscalyear_189,5032,3388,__export__.res_partner_5356,0,0,0
199,,2011-2012,__export__.account_fiscalyear_188,2012-06-18,2012-2013,__export__.account_fiscalyear_189,5058,3390,__export__.res_partner_1792,0,0,0
200,,2010-2011,__export__.account_fiscalyear_187,2013-04-02,2013-2014,__export__.account_fiscalyear_190,5062,3391,__export__.res_partner_4328,0,0,0
201,,2011-2012,__export__.account_fiscalyear_188,2013-04-02,2013-2014,__export__.account_fiscalyear_190,5062,3391,__export__.res_partner_4328,0,0,0
202,,2001-2002,__export__.account_fiscalyear_178,2005-12-23,2002-2003,__export__.account_fiscalyear_179,5620,3911,__export__.res_partner_1542,0,0,0
203,,2003-2004,__export__.account_fiscalyear_180,2005-12-23,2005-2006,__export__.account_fiscalyear_182,5620,3911,__export__.res_partner_1542,0,0,0
204,,2004-2005,__export__.account_fiscalyear_181,2005-12-23,2005-2006,__export__.account_fiscalyear_182,5620,3911,__export__.res_partner_1542,0,0,0
205,,1998-1999,__export__.account_fiscalyear_175,2000-07-12,2000-2001,__export__.account_fiscalyear_177,5790,3894,__export__.res_partner_4848,0,0,0
206,,1994-1995,__export__.account_fiscalyear_482,2001-02-12,2000-2001,__export__.account_fiscalyear_177,5126,3452,__export__.res_partner_3625,0,0,0
207,,2006-2007,__export__.account_fiscalyear_183,2010-10-01,2007-2008,__export__.account_fiscalyear_184,2937,3831,__export__.res_partner_7067,0,0,0
208,,2007-2008,__export__.account_fiscalyear_184,2010-10-01,2008-2009,__export__.account_fiscalyear_185,2937,3831,__export__.res_partner_7067,0,0,0
