reg_no,partner_id/id,approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,requisiton_no,send
2689,__export__.res_partner_3386,FALSE,__export__.account_fiscalyear_228,FALSE,,28/13-14,2013-12-05,916,__export__.wakf_district_7,b-2689/RA,19245,FALSE,18329,28/13-14,FALSE
2622,__export__.res_partner_4892,FALSE,__export__.account_fiscalyear_228,FALSE,,29/13-14,2013-12-05,1995,__export__.wakf_district_7,b-2622/RA,41886,FALSE,39891,29/13-14,FALSE
2154,__export__.res_partner_2490,FALSE,__export__.account_fiscalyear_228,FALSE,,30/13-14,2013-12-05,777,__export__.wakf_district_2,B1-2154/RA,16308,FALSE,15531,30/13-14,TRUE
2233,__export__.res_partner_1297,FALSE,__export__.account_fiscalyear_228,FALSE,,31/13-14,2013-12-05,614,__export__.wakf_district_2,B1-2233/RA,12887,FALSE,12273,31/13-14,FALSE
4598,__export__.res_partner_7124,FALSE,__export__.account_fiscalyear_228,FALSE,,32/13-14,2013-12-06,548,__export__.wakf_district_7,b-4598/RA,11506,FALSE,10958,32/13-14,FALSE
2715,__export__.res_partner_8351,FALSE,__export__.account_fiscalyear_228,FALSE,,33/13-14,2013-12-06,2114,__export__.wakf_district_7,b-2715/RA,44402,FALSE,42288,33/13-14,FALSE
5910,__export__.res_partner_1656,FALSE,__export__.account_fiscalyear_228,FALSE,,35/13-14,2013-12-12,894,__export__.wakf_district_2,b-5910/RA,18767,FALSE,17873,35/13-14,FALSE
5141,__export__.res_partner_2692,FALSE,__export__.account_fiscalyear_228,FALSE,,36/13-14,2013-12-13,798,__export__.wakf_district_2,B1-5141/RA,16751,FALSE,15953,36/13-14,FALSE
5144,__export__.res_partner_3052,FALSE,__export__.account_fiscalyear_228,FALSE,,37/13-14,2013-12-13,602,__export__.wakf_district_2,B1-5144/RA,12648,FALSE,12046,37/13-14,FALSE
1706,__export__.res_partner_6638,FALSE,__export__.account_fiscalyear_228,FALSE,,38/13-14,2013-12-14,667,__export__.wakf_district_2,B2-1706/RA,13998,FALSE,13331,38/13-14,FALSE
