line_2,line_3,line_1,wakf_id/id,name,assess_year/id,date_from,acc_year/id,temp_acc_year
0,0,1321.75,__export__.res_partner_7584,4638,__export__.account_fiscalyear_228,2013-12-03,__export__.account_fiscalyear_227,
0,0,280,__export__.res_partner_2883,6458,__export__.account_fiscalyear_228,2013-12-04,__export__.account_fiscalyear_226,
0,0,680,__export__.res_partner_2883,6458,__export__.account_fiscalyear_228,2013-12-04,__export__.account_fiscalyear_227,
0,0,840,__export__.res_partner_7423,2101,__export__.account_fiscalyear_228,2013-12-04,__export__.account_fiscalyear_227,
0,0,2214,__export__.res_partner_5239,8270,__export__.account_fiscalyear_228,2013-12-04,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_2824,8283,__export__.account_fiscalyear_228,2013-12-06,__export__.account_fiscalyear_227,
0,0,638.25,__export__.res_partner_2533,2112,__export__.account_fiscalyear_228,2013-12-06,__export__.account_fiscalyear_226,
0,0,270,__export__.res_partner_2533,2112,__export__.account_fiscalyear_228,2013-12-06,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_790,2090,__export__.account_fiscalyear_228,2013-12-06,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_4148,1990,__export__.account_fiscalyear_228,2013-12-06,__export__.account_fiscalyear_227,
0,0,17556,__export__.res_partner_8219,2069,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_227,
0,0,11653,__export__.res_partner_7801,8135,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_226,
0,0,9036,__export__.res_partner_7801,8135,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_227,
0,0,50,__export__.res_partner_3754,1619,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_226,
0,0,100,__export__.res_partner_3754,1619,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_227,
0,0,0,__export__.res_partner_3942,2261,__export__.account_fiscalyear_228,2013-12-07,,1993-1996
0,0,0,__export__.res_partner_8218,2089,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_225,
0,0,0,__export__.res_partner_8218,2089,__export__.account_fiscalyear_228,2013-12-07,__export__.account_fiscalyear_226,
