master_id,temp_acc_year,acc_year/id,date_from,assess_year/id,name,wakf_id/id,line_1,line_2,line_3
689,,__export__.account_fiscalyear_55,5/25/2012,__export__.account_fiscalyear_56,7424,__export__.res_partner_1077,,,
690,,__export__.account_fiscalyear_56,9/20/2013,__export__.account_fiscalyear_57,7424,__export__.res_partner_1077,,,
693,,__export__.account_fiscalyear_54,9/28/2012,__export__.account_fiscalyear_56,7435,__export__.res_partner_4222,,,
695,,__export__.account_fiscalyear_51,6/11/2008,__export__.account_fiscalyear_52,1159,__export__.res_partner_3950,,,
696,,__export__.account_fiscalyear_55,7/17/2012,__export__.account_fiscalyear_56,7435,__export__.res_partner_4222,,,
697,1988-1991,,3/1/1995,__export__.account_fiscalyear_430,1160,__export__.res_partner_3368,,,
698,,__export__.account_fiscalyear_51,6/26/2008,__export__.account_fiscalyear_52,7438,__export__.res_partner_2540,,,
699,,__export__.account_fiscalyear_47,4/26/2006,__export__.account_fiscalyear_50,1160,__export__.res_partner_3368,,,
700,,__export__.account_fiscalyear_48,4/26/2006,__export__.account_fiscalyear_50,1160,__export__.res_partner_3368,,,
701,,__export__.account_fiscalyear_54,2/21/2012,__export__.account_fiscalyear_55,1160,__export__.res_partner_3368,,,
702,,__export__.account_fiscalyear_55,10/12/2012,__export__.account_fiscalyear_56,1162,__export__.res_partner_5409,,,
703,,__export__.account_fiscalyear_56,12/17/2013,__export__.account_fiscalyear_57,1162,__export__.res_partner_5409,,,
704,,__export__.account_fiscalyear_55,12/6/2012,__export__.account_fiscalyear_56,1163,__export__.res_partner_547,,,
705,,__export__.account_fiscalyear_56,7/17/2013,__export__.account_fiscalyear_57,1163,__export__.res_partner_547,,,
706,,__export__.account_fiscalyear_55,1/19/2013,__export__.account_fiscalyear_56,7478,__export__.res_partner_5369,,,
707,,__export__.account_fiscalyear_56,4/26/2013,__export__.account_fiscalyear_57,7478,__export__.res_partner_5369,,,
708,,__export__.account_fiscalyear_55,7/7/2012,__export__.account_fiscalyear_56,7512,__export__.res_partner_897,,,
709,,__export__.account_fiscalyear_56,6/5/2013,__export__.account_fiscalyear_57,7512,__export__.res_partner_897,,,
710,,__export__.account_fiscalyear_54,4/27/2012,__export__.account_fiscalyear_56,7566,__export__.res_partner_7805,,,
711,,__export__.account_fiscalyear_56,9/20/2013,__export__.account_fiscalyear_57,7566,__export__.res_partner_7805,,,
712,,__export__.account_fiscalyear_55,11/6/2012,__export__.account_fiscalyear_56,1170,__export__.res_partner_435,,,
713,,__export__.account_fiscalyear_56,9/7/2013,__export__.account_fiscalyear_57,1170,__export__.res_partner_435,,,
714,,__export__.account_fiscalyear_426,3/31/1995,__export__.account_fiscalyear_430,1171,__export__.res_partner_4088,,,
715,,__export__.account_fiscalyear_55,10/12/2012,__export__.account_fiscalyear_56,1171,__export__.res_partner_4088,,,
716,,__export__.account_fiscalyear_56,7/3/2013,__export__.account_fiscalyear_57,1171,__export__.res_partner_4088,,,
717,,__export__.account_fiscalyear_55,6/13/2012,__export__.account_fiscalyear_56,1172,__export__.res_partner_2043,,,
718,,__export__.account_fiscalyear_56,6/6/2013,__export__.account_fiscalyear_57,1172,__export__.res_partner_2043,,,
719,,__export__.account_fiscalyear_49,2/21/2011,__export__.account_fiscalyear_54,7605,__export__.res_partner_3536,,,
720,,__export__.account_fiscalyear_50,2/21/2011,__export__.account_fiscalyear_54,7605,__export__.res_partner_3536,,,
721,,__export__.account_fiscalyear_51,2/21/2011,__export__.account_fiscalyear_54,7605,__export__.res_partner_3536,,,
722,,__export__.account_fiscalyear_54,12/23/2011,__export__.account_fiscalyear_55,7605,__export__.res_partner_3536,,,
723,,__export__.account_fiscalyear_55,8/30/2013,__export__.account_fiscalyear_57,7605,__export__.res_partner_3536,,,
724,,__export__.account_fiscalyear_56,11/4/2013,__export__.account_fiscalyear_57,7605,__export__.res_partner_3536,,,
725,,__export__.account_fiscalyear_53,9/25/2010,__export__.account_fiscalyear_54,1174,__export__.res_partner_7716,,,
726,,__export__.account_fiscalyear_51,3/7/2009,__export__.account_fiscalyear_52,7641,__export__.res_partner_1959,,,
