approve,assess_year/id,cancel,cancel_date,certificate_no,certified_date,collection_charge,wakf_district/id,file_no,grand_total,rr_execute,recover_amount,requisiton_no,send,reg_no,partner_id/id
TRUE,__export__.account_fiscalyear_43,TRUE,2011-06-24,0,2009-08-20,40890.5,__export__.wakf_district_6,0,858700.5,FALSE,817810,0,TRUE,3748,__export__.res_partner_7393
TRUE,__export__.account_fiscalyear_53,FALSE,,9/1/2010,2010-01-29,579,__export__.wakf_district_6,B3-3883/RA,12160,FALSE,11581,9/1/2010,TRUE,3883,__export__.res_partner_2357
TRUE,__export__.account_fiscalyear_53,FALSE,,9/4/2010,2010-01-29,1927,__export__.wakf_district_6,B3-6286/RA,40459,FALSE,38532,9/4/2010,TRUE,6286,__export__.res_partner_7248
TRUE,__export__.account_fiscalyear_53,FALSE,,9/5/2010,2010-01-29,687,__export__.wakf_district_6,B3-3233/RA,14435.55,FALSE,13748.55,9/5/2010,TRUE,3233,__export__.res_partner_7520
TRUE,__export__.account_fiscalyear_53,TRUE,2012-08-22,9/6/2010,2010-01-29,2541,__export__.wakf_district_6,B3-3223/RA,53367.27,FALSE,50826.27,9/6/2010,TRUE,3223,__export__.res_partner_564
TRUE,__export__.account_fiscalyear_53,TRUE,2010-10-30,9/7/2010,2010-01-29,817,__export__.wakf_district_6,B3-3222/RA,17163.92,FALSE,16346.92,9/7/2010,TRUE,3222,__export__.res_partner_1240
TRUE,__export__.account_fiscalyear_53,FALSE,,9/8/2010,2010-01-30,813,__export__.wakf_district_6,B3-3251/RA,17065.96,FALSE,16252.96,9/8/2010,TRUE,3251,__export__.res_partner_1437
TRUE,__export__.account_fiscalyear_53,FALSE,,9/10/2010,2010-01-30,2329,__export__.wakf_district_6,B3-3225/RA,48900,FALSE,46571,9/10/2010,TRUE,3225,__export__.res_partner_551
TRUE,__export__.account_fiscalyear_53,FALSE,,9/11/2010,2010-01-29,2513,__export__.wakf_district_6,B3-3218/RA,52778,FALSE,50265,9/11/2010,TRUE,3218,__export__.res_partner_1323
TRUE,__export__.account_fiscalyear_53,FALSE,,9/12/2010,2010-01-29,452,__export__.wakf_district_6,B3-3788/RA,9492,FALSE,9040,9/12/2010,TRUE,3788,__export__.res_partner_3515
FALSE,__export__.account_fiscalyear_53,TRUE,2011-04-07,9/15/2010,2010-02-27,10021,__export__.wakf_district_6,B3-3808/RA,210444,FALSE,200423,9/15/2010,TRUE,3808,__export__.res_partner_7550
TRUE,__export__.account_fiscalyear_53,TRUE,2013-05-30,9/17/2010,2010-03-01,4736,__export__.wakf_district_6,B3-3307/RA,99455,FALSE,94719,9/17/2010,TRUE,3307,__export__.res_partner_5349
TRUE,__export__.account_fiscalyear_54,FALSE,,10/2/2011,2010-05-06,518,__export__.wakf_district_6,B3-4519/RA,10880,FALSE,10362,10/2/2011,TRUE,4519,__export__.res_partner_1783
TRUE,__export__.account_fiscalyear_46,TRUE,2012-02-13,0,2011-01-06,1510.75,__export__.wakf_district_6,0,31725.75,FALSE,30215,0,TRUE,2956,__export__.res_partner_2707
TRUE,__export__.account_fiscalyear_55,TRUE,2013-05-16,11/1/2012,2011-04-30,585,__export__.wakf_district_9,B4-2826/RA,12286,FALSE,11701,11/1/2012,FALSE,2826,__export__.res_partner_912
TRUE,__export__.account_fiscalyear_55,FALSE,,11/4/2012,2011-07-07,786,__export__.wakf_district_6,B3-4247/RA,16503,FALSE,15717,11/4/2012,FALSE,4247,__export__.res_partner_5312
TRUE,__export__.account_fiscalyear_55,TRUE,2012-04-25,11/5/2012,2012-02-10,632,__export__.wakf_district_6,B3-3163/RA,13280.6,FALSE,12648.6,11/5/2012,FALSE,3163,__export__.res_partner_4360
TRUE,__export__.account_fiscalyear_55,TRUE,,11/6/2012,2013-01-02,1448,__export__.wakf_district_6,B3-4474/RA,30410,FALSE,28962,11/6/2012,FALSE,4474,__export__.res_partner_2668
TRUE,__export__.account_fiscalyear_55,TRUE,,7/,2013-01-02,1448,__export__.wakf_district_6,B3-4474/RA,30410,FALSE,28962,7/,FALSE,4474,__export__.res_partner_2668
FALSE,__export__.account_fiscalyear_55,FALSE,,11/21/2012,2011-06-30,240,__export__.wakf_district_6,B3-3144/RA,5045,FALSE,4805,11/21/2012,FALSE,3144,__export__.res_partner_6714
FALSE,__export__.account_fiscalyear_55,FALSE,,22/,2011-06-30,240,__export__.wakf_district_6,B3-3144/RA,5045,FALSE,4805,22/,FALSE,3144,__export__.res_partner_6714
TRUE,__export__.account_fiscalyear_55,FALSE,,42/11-12,2011-08-02,153,__export__.wakf_district_6,B3-3123/RA,3217,FALSE,3064,42/11-12,TRUE,3123,__export__.res_partner_2345
TRUE,__export__.account_fiscalyear_55,FALSE,,44/11-12,2011-07-26,1909,__export__.wakf_district_1,B3-3870/RA,40097,FALSE,38188,44/11-12,FALSE,3870,__export__.res_partner_8359
TRUE,__export__.account_fiscalyear_55,FALSE,,47/11-12,2011-07-26,1168,__export__.wakf_district_6,B3-3170/RA,24523.9,FALSE,23355.9,47/11-12,FALSE,3170,__export__.res_partner_1285
TRUE,__export__.account_fiscalyear_55,FALSE,,48/11-12,2011-07-26,611,__export__.wakf_district_6,B3-3293/RA,12838,FALSE,12227,48/11-12,FALSE,3293,__export__.res_partner_558
TRUE,__export__.account_fiscalyear_55,FALSE,,51/11-12,2011-08-23,2815,__export__.wakf_district_9,B4-7181/RA,59106,FALSE,56291,51/11-12,FALSE,7181,__export__.res_partner_5224
TRUE,__export__.account_fiscalyear_55,TRUE,2013-01-04,58/11-12,2011-10-03,708,__export__.wakf_district_9,B4-3052/RA,14870.9,FALSE,14162.9,58/11-12,FALSE,3052,
TRUE,__export__.account_fiscalyear_55,TRUE,2012-04-27,59/11-12,2011-10-03,2935,__export__.wakf_district_9,B4-2993/RA,61634,FALSE,58699,59/11-12,FALSE,2993,__export__.res_partner_2318
TRUE,__export__.account_fiscalyear_55,FALSE,,60/11-12,2011-10-11,732,__export__.wakf_district_9,B4-2786/RA,15365,FALSE,14633,60/11-12,FALSE,2786,__export__.res_partner_788
TRUE,__export__.account_fiscalyear_55,FALSE,,61/11-12,2011-10-12,750,__export__.wakf_district_9,B4-3019/RA,15758.7,FALSE,15008.7,61/11-12,FALSE,3019,__export__.res_partner_6736
FALSE,__export__.account_fiscalyear_55,TRUE,2011-10-12,62/11-12,2011-10-12,631,__export__.wakf_district_9,B4-4711/RA,13257,FALSE,12626,62/11-12,FALSE,4711,__export__.res_partner_1327
TRUE,__export__.account_fiscalyear_55,TRUE,2012-05-08,63/11-12,2011-10-12,726,__export__.wakf_district_9,B4-4711/RA,15237,FALSE,14511,63/11-12,FALSE,4711,__export__.res_partner_1327
TRUE,__export__.account_fiscalyear_55,FALSE,,64/11-12,2011-10-12,4037,__export__.wakf_district_9,B4-3092/RA,84785,FALSE,80748,64/11-12,FALSE,3092,__export__.res_partner_4267
TRUE,__export__.account_fiscalyear_55,FALSE,,65/11-12,2011-10-14,615,__export__.wakf_district_9,B4-2828/RA,12912,FALSE,12297,65/11-12,FALSE,2828,__export__.res_partner_4396
TRUE,__export__.account_fiscalyear_55,FALSE,,66/11-12,2011-10-14,643,__export__.wakf_district_9,B4-2848/RA,13496,FALSE,12853,66/11-12,FALSE,2848,__export__.res_partner_2125
TRUE,__export__.account_fiscalyear_55,FALSE,,71/11-12,2011-10-17,1059,__export__.wakf_district_9,B4-5544/RA,22231.12,FALSE,21172.12,71/11-12,FALSE,5544,__export__.res_partner_4408
TRUE,__export__.account_fiscalyear_55,FALSE,,72/11-12,2011-10-18,613,__export__.wakf_district_9,B4-3873/RA,12867.35,FALSE,12254.35,72/11-12,FALSE,3873,__export__.res_partner_7689
TRUE,__export__.account_fiscalyear_55,TRUE,2012-06-25,73/11-12,2011-10-19,562,__export__.wakf_district_9,B4-5543/RA,11799,FALSE,11237,73/11-12,FALSE,5543,__export__.res_partner_5985
TRUE,__export__.account_fiscalyear_55,FALSE,,74/11-12,2011-10-19,2586,__export__.wakf_district_9,B4-2901/RA,54306,FALSE,51720,74/11-12,FALSE,2901,__export__.res_partner_4555
TRUE,__export__.account_fiscalyear_55,FALSE,,76/11-12,2011-10-20,2790,__export__.wakf_district_9,B4-3076/RA,58600,FALSE,55810,76/11-12,FALSE,3076,__export__.res_partner_6615
TRUE,__export__.account_fiscalyear_55,FALSE,,77/11-12,2011-10-22,651,__export__.wakf_district_9,B4-3824/RA,13663,FALSE,13012,77/11-12,FALSE,3824,__export__.res_partner_5888
TRUE,__export__.account_fiscalyear_55,FALSE,,78/11-12,2011-10-22,1833,__export__.wakf_district_9,B4-3914/RA,38492,FALSE,36659,78/11-12,FALSE,3914,__export__.res_partner_789
TRUE,__export__.account_fiscalyear_55,FALSE,,79/11-12,2011-10-27,509,__export__.wakf_district_9,B4-4496/RA,10682,FALSE,10173,79/11-12,FALSE,4496,__export__.res_partner_5945
TRUE,__export__.account_fiscalyear_55,FALSE,,80/11-12,2011-10-28,809,__export__.wakf_district_9,B4-4775/RA,16994,FALSE,16185,80/11-12,FALSE,4775,__export__.res_partner_6435
TRUE,__export__.account_fiscalyear_55,FALSE,,81/11-12,2011-11-02,1413,__export__.wakf_district_9,B4-6260/RA,29667,FALSE,28254,81/11-12,FALSE,6260,__export__.res_partner_2304
TRUE,__export__.account_fiscalyear_55,FALSE,,82/11-12,2012-02-03,1680,__export__.wakf_district_9,B4-3832/RA,35271.99,FALSE,33591.99,82/11-12,FALSE,3832,__export__.res_partner_1217
TRUE,__export__.account_fiscalyear_55,TRUE,2013-05-24,83/11-12,2011-10-29,727,__export__.wakf_district_9,B4-3058/RA,15259.11,FALSE,14532.11,83/11-12,FALSE,3058,__export__.res_partner_1994
TRUE,__export__.account_fiscalyear_55,FALSE,,94/11-12,2011-12-08,172,__export__.wakf_district_6,B3-3838/RA,3607,FALSE,3435,94/11-12,FALSE,3838,__export__.res_partner_7630
TRUE,__export__.account_fiscalyear_55,FALSE,,95/11-12,2011-12-12,211,__export__.wakf_district_6,B3-3202/RA,4435,FALSE,4224,95/11-12,FALSE,3202,__export__.res_partner_4106
TRUE,__export__.account_fiscalyear_55,FALSE,,96/11-12,2011-12-08,723,__export__.wakf_district_6,B3-3764/RA,15179,FALSE,14456,96/11-12,FALSE,3764,__export__.res_partner_8076
TRUE,__export__.account_fiscalyear_55,FALSE,,97/11-12,2011-12-08,480,__export__.wakf_district_6,B3-3213/RA,10090,FALSE,9610,97/11-12,FALSE,3213,__export__.res_partner_6122
FALSE,__export__.account_fiscalyear_55,FALSE,,98/11-12,2011-12-08,499,__export__.wakf_district_6,B3-3235/RA,10477.05,FALSE,9978.05,98/11-12,FALSE,3235,__export__.res_partner_7025
TRUE,__export__.account_fiscalyear_55,FALSE,,130/11-12,2012-01-03,281,__export__.wakf_district_6,B3-5733/RA,5909,FALSE,5628,130/11-12,FALSE,5733,__export__.res_partner_5173
